IP;BAN_DATE;UNBAN_DATE;REASON
5.135.231.221;1482356343;1482961145;"Брутфорс атака на сайт news.art-bahmut.org/Brute force attack on site news.art-bahmut.org"
5.135.250.220;1482133202;1484725207;"Паразитный трафик на сайт mebel-market.dn.ua / Parasite traffic on site mebel-market.dn.ua"
5.137.219.217;1482449522;1482535926;"Паразитный трафик на сайт coalbossapp.com / Parasite traffic on site coalbossapp.com"
5.138.126.226;1482431882;1482518286;"Паразитный трафик на сайт govnostroi.ru / Parasite traffic on site govnostroi.ru"
5.139.19.171;1482424262;1482510663;"Брутфорс атака на сайт tov-vgik.com/Brute force attack on site tov-vgik.com"
5.140.30.103;1482452402;1482538803;"Брутфорс атака на сайт adam-photos.com/Brute force attack on site adam-photos.com"
5.140.162.241;1482446161;1482532576;"Паразитный трафик на сайт coalbossapp.com / Parasite traffic on site coalbossapp.com"
5.140.174.116;1482409981;1482496381;"Брутфорс атака на сайт cake.vn.ua/Brute force attack on site cake.vn.ua"
5.141.125.205;1482456663;1482543063;"Брутфорс атака на сайт burega.com.ua/Brute force attack on site burega.com.ua"
5.141.130.127;1482424561;1482510962;"Брутфорс атака на сайт cake.vn.ua/Brute force attack on site cake.vn.ua"
5.141.196.84;1482427082;1482513482;"Брутфорс атака на сайт samadi-production.com/Brute force attack on site samadi-production.com"
5.141.205.205;1482420184;1482506587;"Паразитный трафик на сайт coalbossapp.com / Parasite traffic on site coalbossapp.com"
5.141.207.240;1482453481;1482539882;"Брутфорс атака на сайт me-te-or.com/Brute force attack on site me-te-or.com"
5.141.209.109;1482391082;1482477482;"Брутфорс атака на сайт hgozt.org/Brute force attack on site hgozt.org"
5.141.212.163;1482452404;1482538804;"Брутфорс атака на сайт law-office.com.ua/Brute force attack on site law-office.com.ua"
5.141.217.231;1482378123;1482464523;"Брутфорс атака на сайт runcominvest.com/Brute force attack on site runcominvest.com"
5.141.219.9;1482427743;1482514143;"Брутфорс атака на сайт laskabf.org/Brute force attack on site laskabf.org"
5.141.222.186;1482452404;1482538804;"Брутфорс атака на сайт law-office.com.ua/Brute force attack on site law-office.com.ua"
5.141.229.131;1482393182;1482479582;"Брутфорс атака на сайт sobkivka-nvk.info/Brute force attack on site sobkivka-nvk.info"
5.141.229.250;1482413822;1482500222;"Брутфорс атака на сайт laskabf.org/Brute force attack on site laskabf.org"
5.141.237.246;1482441484;1482527884;"Брутфорс атака на сайт minigramm.com/Brute force attack on site minigramm.com"
5.142.201.145;1482410462;1482496862;"Брутфорс атака на сайт general-group.net/Brute force attack on site general-group.net"
5.142.241.121;1482453481;1482539882;"Брутфорс атака на сайт me-te-or.com/Brute force attack on site me-te-or.com"
5.143.255.74;1482402302;1483007102;"Брутфорс атака на сайт oracs.org/Brute force attack on site oracs.org"
5.144.128.158;1481180222;1483772224;"Паразитный трафик на сайт alena-smirnova.ru / Parasite traffic on site alena-smirnova.ru"
